Long_Name,Primary_Category,Zip,Student_Count_Total,Student_Count_Low_Income,Student_Count_Special_Ed,Student_Count_English_Learners,Student_Count_Black,Student_Count_Hispanic,Student_Count_White,Student_Count_Asian,Student_Count_Native_American,Student_Count_Other_Ethnicity,Student_Count_Asian_Pacific_Islander,Student_Count_Multi,Student_Count_Hawaiian_Pacific_Islander,Student_Count_Ethnicity_Not_Available,Overall_Rating,Rating_Status,School_Latitude,School_Longitude,Location,Year
James R Doolittle Jr Elementary School,ES,60616,257,207,45,0,257,0,0,0,0,0,0,0,0,0,Level 3,INTENSIVE SUPPORT,41.831121,-87.612275,POINT (-87.612275 41.831121),2023
EPIC Academy Charter High School,HS,60617,325,306,81,60,178,130,3,0,1,0,0,1,0,12,Level 2+,NOT APPLICABLE,41.744849,-87.550222,POINT (-87.550222 41.744849),2023
STEM Magnet Academy,ES,60607,396,148,24,45,142,82,27,130,1,0,0,13,1,0,Level 1+,GOOD STANDING,41.868576,-87.664969,POINT (-87.664969 41.868576),2023
Alex Haley Elementary Academy,ES,60628,445,369,70,3,420,23,1,0,0,0,0,0,1,0,Level 1,GOOD STANDING,41.68666,-87.633632,POINT (-87.633632 41.68666),2023
Leif Ericson Elementary Scholastic Academy,ES,60624,355,293,27,0,351,3,1,0,0,0,0,0,0,0,Level 2+,GOOD STANDING,41.875744,-87.715804,POINT (-87.715804 41.875744),2023
John J Pershing Elementary Humanities Magnet,ES,60616,418,298,59,24,398,11,4,2,0,0,0,3,0,0,Level 2+,GOOD STANDING,41.836527,-87.618338,POINT (-87.618338 41.836527),2023
Charles Allen Prosser Career Academy High School,HS,60639,1150,1022,163,187,274,846,20,2,4,0,0,2,2,0,Level 2+,GOOD STANDING,41.920059,-87.761048,POINT (-87.761048 41.920059),2023
John L Marsh Elementary School,ES,60617,647,500,115,218,67,559,13,0,4,0,0,3,0,1,Level 1,GOOD STANDING,41.716588,-87.552483,POINT (-87.552483 41.716588),2023
YCCS-Dr. Pedro Albizu Campos Puerto Rican HS,HS,60622,97,77,20,17,28,66,2,0,0,0,0,1,0,0,Level 1,NOT APPLICABLE,41.90285,-87.696006,POINT (-87.696006 41.90285),2023
Walter Payton College Preparatory High School,HS,60610,1230,372,107,23,110,300,463,301,2,0,0,48,6,0,Level 1+,GOOD STANDING,41.901575,-87.635385,POINT (-87.635385 41.901575),2023
Bernhard Moos Elementary School,ES,60647,431,292,57,162,62,318,37,2,0,0,0,12,0,0,Level 2+,GOOD STANDING,41.912505,-87.696941,POINT (-87.696941 41.912505),2023
Great Lakes Academy Charter School,ES,60617,514,393,57,32,462,49,0,0,1,0,0,2,0,0,Level 2,NOT APPLICABLE,41.742671,-87.559907,POINT (-87.559907 41.742671),2023
Rachel Carson Elementary School,ES,60629,808,657,67,537,23,778,2,1,2,0,0,2,0,0,Level 1+,GOOD STANDING,41.793272,-87.6878,POINT (-87.6878 41.793272),2023
Florence Nightingale Elementary School,ES,60632,978,811,154,407,6,952,8,0,11,0,0,1,0,0,Level 1,GOOD STANDING,41.797714,-87.689139,POINT (-87.689139 41.797714),2023
Alain Locke Charter School,ES,60612,317,266,45,0,313,4,0,0,0,0,0,0,0,0,Level 2+,NOT APPLICABLE,41.877248,-87.705235,POINT (-87.705235 41.877248),2023
Peter Cooper Elementary Dual Language Academy,ES,60608,404,350,59,232,9,392,1,2,0,0,0,0,0,0,Level 1,GOOD STANDING,41.856031,-87.667227,POINT (-87.667227 41.856031),2023
Johnnie Colemon Elementary Academy,ES,60643,195,131,29,7,186,9,0,0,0,0,0,0,0,0,Level 1,GOOD STANDING,41.677505,-87.658111,POINT (-87.658111 41.677505),2023
John Whistler Elementary School,ES,60643,273,189,55,1,238,3,1,0,0,0,0,4,0,27,Level 1,GOOD STANDING,41.683907,-87.655384,POINT (-87.655384 41.683907),2023
Matthew Gallistel Elementary Language Academy,ES,60617,614,502,77,216,38,567,6,0,3,0,0,0,0,0,Level 1,GOOD STANDING,41.706801,-87.535175,POINT (-87.535175 41.706801),2023
